Customer_ID,Age,Gender,Region,Employment_Status,Education_Level,Years_Driving,Car_Make,Car_Model,Manufacture_Year,Annual_Mileage,Number_of_Accidents,Number_of_Claims,Car_Value,Premium_Amount,Marital_Status,Has_AntiTheft_Device,Policy_Term,Credit_Score,Vehicle_Usage
2559,42,Male,Urban,Employed,Associate Degree,30,Kia,Soul,2005,27640,0,5,902952,27486,Married,1,6,454,Pleasure
2560,62,Female,Suburban,Retired,Master's Degree,21,Ford,Focus,1997,11132,0,9,1275840,46602,Widowed,1,12,346,Pleasure
2561,68,Female,Suburban,Employed,High School,33,Toyota,Camry,2019,24797,4,0,999810,17496,Married,0,12,725,Business
2562,75,Female,Rural,Retired,Bachelor's Degree,11,Hyundai,Tucson,1996,12937,5,5,680202,55998,Single,1,6,367,Business
2563,36,Female,Urban,Retired,Master's Degree,58,Honda,CR-V,1995,12630,2,5,259344,24858,Single,1,6,601,Business
2564,72,Female,Urban,Retired,Doctorate,54,Volkswagen,Passat,2018,25165,0,9,1103616,37998,Divorced,0,6,449,Business
2565,63,Female,Suburban,Retired,Doctorate,22,Nissan,Sentra,2000,22302,3,7,826992,24552,Married,1,6,639,Commute
2566,53,Male,Urban,Employed,High School,27,Chevrolet,Impala,2008,25085,1,5,471924,71766,Single,1,6,550,Business
2567,62,Female,Rural,Retired,Associate Degree,51,Hyundai,Tucson,1998,13347,0,1,1447470,28674,Divorced,0,12,767,Business
2568,25,Male,Rural,Unemployed,Master's Degree,49,Hyundai,Elantra,2010,22982,2,9,1013148,47772,Widowed,1,12,332,Commute
2569,46,Female,Urban,Employed,High School,11,Volkswagen,Golf,2004,15620,4,2,1509930,75366,Widowed,0,12,372,Business
2570,72,Male,Urban,Retired,Doctorate,26,Kia,Sportage,2019,14872,3,1,617580,73854,Single,1,6,409,Business
2571,70,Male,Rural,Employed,Doctorate,22,Honda,CR-V,1999,15628,1,2,1511100,40878,Widowed,0,6,469,Pleasure
2572,72,Female,Urban,Employed,Doctorate,0,Volkswagen,Jetta,2005,6046,0,0,1480086,88560,Divorced,1,6,721,Pleasure
2573,49,Female,Suburban,Employed,Bachelor's Degree,59,Toyota,Corolla,1995,25331,2,6,315144,15462,Widowed,0,12,696,Business
2574,68,Male,Urban,Employed,Bachelor's Degree,58,Hyundai,Tucson,2011,26266,1,4,1096452,53064,Married,0,6,482,Commute
2575,61,Female,Suburban,Retired,Doctorate,42,Volkswagen,Passat,2008,16647,1,8,890226,56934,Divorced,1,6,368,Commute
2576,35,Female,Urban,Employed,Associate Degree,1,Mercedes,E-Class,2001,20488,3,6,358578,34884,Married,0,6,357,Business
2577,23,Male,Urban,Unemployed,Bachelor's Degree,43,Toyota,RAV4,2008,8482,3,0,1202706,23364,Married,1,12,732,Business
2578,35,Male,Rural,Employed,Master's Degree,30,Kia,Forte,1995,15026,0,0,893070,60012,Married,0,6,390,Commute
2579,36,Male,Suburban,Employed,Bachelor's Degree,1,Volkswagen,Golf,2000,12941,0,1,485856,88902,Widowed,0,12,367,Pleasure
2580,39,Female,Rural,Unemployed,Master's Degree,48,Nissan,Sentra,2001,5227,1,6,1084986,50112,Married,1,12,500,Commute
2581,54,Female,Urban,Retired,Bachelor's Degree,24,Volkswagen,Golf,2005,27266,2,6,539658,36198,Divorced,1,12,773,Pleasure
2582,49,Female,Rural,Unemployed,Doctorate,37,Honda,Accord,2004,24536,1,8,627948,88560,Divorced,1,12,846,Business
2583,73,Female,Urban,Self-Employed,Master's Degree,47,BMW,3 Series,2015,24019,5,2,937062,17982,Single,0,12,498,Commute
2584,58,Male,Urban,Unemployed,Associate Degree,18,Nissan,Sentra,1997,8352,2,2,1406592,42084,Divorced,0,12,529,Pleasure
2585,76,Female,Urban,Retired,Bachelor's Degree,27,Ford,Escape,2013,18001,3,7,510786,55044,Married,1,12,477,Business
2586,20,Male,Suburban,Unemployed,Bachelor's Degree,5,Mercedes,GLC,2022,11774,2,5,1199214,73278,Single,0,6,628,Pleasure
2587,45,Female,Suburban,Employed,Doctorate,38,Volkswagen,Jetta,1996,7811,2,2,816354,65016,Divorced,1,12,741,Commute
2588,27,Female,Suburban,Retired,Master's Degree,18,Ford,Fiesta,2021,19969,3,7,1629468,89640,Married,0,12,447,Business
2589,68,Male,Rural,Self-Employed,Doctorate,51,Nissan,Sentra,2006,29749,4,2,645984,56682,Single,1,12,630,Business
2590,52,Female,Urban,Retired,Master's Degree,57,BMW,X5,2006,28910,5,5,735282,77346,Divorced,0,6,843,Business
2591,78,Female,Rural,Employed,Bachelor's Degree,16,Volkswagen,Passat,1995,20930,1,0,1339686,40644,Single,1,6,312,Pleasure
2592,46,Male,Rural,Self-Employed,Bachelor's Degree,5,Chevrolet,Equinox,2008,22782,0,3,169326,51552,Widowed,1,6,455,Pleasure
2593,71,Female,Urban,Retired,Bachelor's Degree,14,Ford,Escape,2005,28606,2,5,1120284,71730,Divorced,0,6,414,Business
2594,32,Male,Rural,Retired,Bachelor's Degree,21,Honda,CR-V,2002,12831,0,4,1419570,85842,Divorced,0,12,437,Pleasure
2595,50,Male,Urban,Employed,High School,40,Nissan,Sentra,2003,8402,5,3,1541268,82980,Single,1,12,685,Pleasure
2596,24,Male,Urban,Unemployed,Bachelor's Degree,33,Toyota,RAV4,2012,8735,0,9,300816,74034,Single,1,6,423,Business
2597,29,Male,Urban,Unemployed,Bachelor's Degree,4,Volkswagen,Jetta,2007,7434,1,0,1399176,72270,Single,1,6,804,Commute
2598,66,Female,Urban,Self-Employed,Master's Degree,52,Chevrolet,Impala,1998,20015,4,3,1185210,11016,Married,0,6,825,Commute
2599,47,Female,Rural,Employed,Bachelor's Degree,22,Toyota,Camry,2010,8219,4,0,993888,27864,Widowed,0,12,669,Pleasure
2600,38,Female,Rural,Employed,Bachelor's Degree,4,Ford,Fiesta,1997,22531,5,9,876888,36666,Married,0,6,829,Commute
2601,48,Male,Rural,Unemployed,Master's Degree,43,Volkswagen,Golf,1998,9835,5,3,1671318,28584,Single,1,12,569,Business
2602,75,Female,Suburban,Unemployed,Bachelor's Degree,61,Hyundai,Elantra,1998,22089,4,2,182664,79614,Widowed,0,6,662,Business
2603,78,Female,Rural,Self-Employed,Bachelor's Degree,9,Toyota,Camry,2002,16612,4,6,1352304,44352,Divorced,0,12,544,Pleasure
2604,41,Female,Rural,Unemployed,Doctorate,3,Kia,Soul,2005,15692,3,5,1730790,12078,Single,0,12,704,Pleasure
2605,37,Female,Suburban,Self-Employed,High School,11,Nissan,Rogue,1997,11222,0,5,471276,85482,Married,1,12,590,Business
2606,54,Male,Urban,Retired,Master's Degree,46,Toyota,Camry,2013,15247,0,9,1343502,52902,Widowed,1,12,395,Pleasure
2607,21,Male,Urban,Self-Employed,Doctorate,9,Volkswagen,Jetta,2022,15081,5,2,1596096,84204,Single,1,6,535,Business
2608,45,Female,Urban,Self-Employed,Associate Degree,59,Toyota,Camry,2000,23980,5,5,703638,30276,Widowed,1,12,673,Business
2609,61,Male,Suburban,Self-Employed,Associate Degree,29,Ford,Focus,2021,21217,5,2,177822,75402,Single,1,12,337,Pleasure
2610,79,Female,Rural,Retired,High School,49,Ford,Focus,1997,8528,3,6,152136,44730,Married,0,6,686,Commute
2611,37,Female,Rural,Unemployed,Associate Degree,23,Mercedes,GLC,2015,25216,1,1,507240,74394,Divorced,0,6,740,Commute
2612,77,Female,Rural,Self-Employed,High School,4,Toyota,Corolla,1998,9807,2,8,323856,52938,Widowed,0,6,709,Commute
2613,41,Male,Rural,Unemployed,Associate Degree,12,Honda,Civic,2021,19767,4,9,787086,31734,Divorced,0,12,408,Business
2614,67,Female,Suburban,Self-Employed,Associate Degree,35,Hyundai,Tucson,1998,13792,4,1,1313424,9810,Married,0,6,829,Commute
2615,66,Male,Rural,Unemployed,Doctorate,8,Kia,Sportage,1996,27753,3,0,505062,31248,Married,1,12,794,Business
2616,68,Male,Urban,Self-Employed,Associate Degree,17,Volkswagen,Jetta,2010,18731,4,3,1174932,86940,Single,1,12,765,Commute
2617,49,Female,Suburban,Unemployed,High School,34,Chevrolet,Impala,2019,17164,3,7,906120,50688,Divorced,0,12,617,Pleasure
2618,58,Male,Suburban,Employed,Bachelor's Degree,30,Honda,Civic,1999,23766,2,6,1190196,35244,Divorced,1,12,640,Business
2619,53,Male,Urban,Retired,Bachelor's Degree,23,BMW,5 Series,2009,29697,0,5,1499832,88758,Married,1,6,689,Pleasure
2620,75,Female,Urban,Self-Employed,Bachelor's Degree,42,BMW,5 Series,1999,5475,4,9,679176,47340,Divorced,1,12,322,Business
2621,70,Male,Rural,Retired,High School,3,Ford,Fiesta,2017,13428,1,6,905922,26694,Widowed,1,6,718,Pleasure
2622,51,Male,Urban,Self-Employed,High School,40,BMW,3 Series,2006,24210,3,3,577602,83826,Married,0,6,354,Commute
2623,53,Female,Suburban,Employed,Bachelor's Degree,25,Volkswagen,Jetta,2013,25297,5,7,1414062,52902,Divorced,1,12,323,Pleasure
2624,19,Female,Suburban,Employed,Associate Degree,60,Toyota,Camry,2009,14859,2,3,1296000,80856,Widowed,1,6,645,Business
2625,32,Male,Suburban,Retired,Bachelor's Degree,43,Hyundai,Tucson,2022,13573,1,9,948330,42210,Divorced,1,12,417,Commute
2626,51,Female,Rural,Self-Employed,Master's Degree,57,BMW,X5,2000,28955,0,7,1658358,49716,Married,1,6,773,Commute
2627,53,Female,Rural,Unemployed,High School,41,Mercedes,E-Class,1995,25868,1,4,505818,34524,Single,0,12,343,Pleasure
2628,23,Male,Urban,Self-Employed,Master's Degree,9,Kia,Sportage,1999,22854,3,8,524070,81486,Single,0,6,687,Pleasure
2629,56,Male,Rural,Unemployed,Master's Degree,40,Chevrolet,Malibu,2015,8264,4,6,1243386,45504,Widowed,0,6,443,Business
2630,59,Female,Rural,Retired,High School,41,Toyota,Corolla,2019,17748,0,9,1633554,48096,Widowed,0,12,427,Pleasure
2631,68,Male,Suburban,Retired,Bachelor's Degree,8,Nissan,Sentra,2022,17501,3,9,795204,77814,Divorced,1,12,848,Business
2632,68,Female,Suburban,Employed,Doctorate,0,Ford,Escape,2015,8724,2,5,757080,53604,Single,1,12,573,Business
2633,75,Female,Urban,Unemployed,Master's Degree,53,Ford,Escape,2018,23894,1,1,1198764,12150,Divorced,1,6,446,Business
2634,71,Male,Suburban,Self-Employed,Bachelor's Degree,15,Volkswagen,Jetta,2013,21898,1,5,1703592,10332,Single,0,6,564,Business
2635,78,Male,Rural,Employed,Doctorate,57,Honda,Civic,2022,8467,0,0,737064,59400,Single,1,12,807,Commute
2636,29,Female,Urban,Retired,Master's Degree,45,BMW,5 Series,2005,21593,0,1,454500,55206,Divorced,1,6,408,Commute
2637,20,Female,Urban,Employed,Bachelor's Degree,12,Toyota,RAV4,2016,28351,2,4,674640,46782,Widowed,1,12,629,Commute
2638,62,Female,Suburban,Self-Employed,Master's Degree,37,Chevrolet,Malibu,2008,25537,2,6,747234,60840,Single,0,6,657,Business
2639,35,Female,Suburban,Self-Employed,Bachelor's Degree,13,Nissan,Altima,2008,17771,0,0,431874,88956,Widowed,1,6,769,Commute
2640,57,Male,Suburban,Retired,Associate Degree,39,Mercedes,GLC,1996,14944,3,1,1262214,25974,Widowed,0,6,476,Commute
2641,38,Female,Urban,Employed,Associate Degree,22,Chevrolet,Equinox,2019,21270,3,3,223290,82440,Married,1,6,595,Pleasure
2642,32,Male,Suburban,Unemployed,High School,54,Hyundai,Tucson,2016,25224,0,8,1497708,65844,Widowed,1,6,763,Business
2643,50,Male,Rural,Unemployed,Doctorate,17,Mercedes,C-Class,1999,9039,1,7,1337688,50994,Single,0,12,649,Pleasure
2644,52,Female,Urban,Unemployed,Master's Degree,60,BMW,3 Series,2003,10232,5,9,1406502,66726,Divorced,1,6,359,Pleasure
2645,43,Male,Suburban,Self-Employed,Master's Degree,27,Nissan,Altima,2011,25550,4,8,1202022,61920,Single,1,12,713,Business
2646,25,Male,Rural,Employed,Bachelor's Degree,58,Nissan,Altima,2013,14698,2,3,1400058,36198,Married,0,12,656,Business
2647,53,Female,Rural,Unemployed,Doctorate,19,Chevrolet,Equinox,2009,18925,3,6,392022,33210,Married,0,6,324,Commute
2648,65,Male,Suburban,Employed,Master's Degree,0,Nissan,Rogue,1996,6068,4,2,689256,77184,Widowed,1,12,326,Commute
2649,47,Male,Rural,Retired,Doctorate,11,Volkswagen,Golf,2003,15895,1,7,1550430,40392,Single,1,6,371,Commute
2650,40,Female,Urban,Unemployed,Doctorate,26,Kia,Soul,2005,20994,2,6,1054692,25326,Widowed,0,12,529,Pleasure
2651,59,Female,Urban,Employed,Associate Degree,42,Volkswagen,Golf,2016,8856,3,7,1536228,82188,Divorced,0,12,316,Commute
2652,61,Female,Rural,Self-Employed,Master's Degree,12,Chevrolet,Impala,2021,23149,3,8,1775124,57078,Widowed,1,12,326,Business
2653,31,Female,Urban,Retired,Master's Degree,54,Nissan,Altima,2000,11685,1,5,105030,75978,Married,1,12,834,Pleasure
2654,31,Female,Suburban,Retired,High School,3,Nissan,Rogue,2009,16025,1,3,355176,34362,Married,1,6,629,Pleasure
2655,19,Female,Rural,Retired,Doctorate,24,Hyundai,Santa Fe,2015,20331,3,2,1322946,86148,Widowed,0,12,669,Business
2656,72,Female,Urban,Retired,Bachelor's Degree,5,Nissan,Altima,2014,9571,3,2,1209384,87678,Widowed,0,12,497,Pleasure
2657,54,Male,Suburban,Self-Employed,Associate Degree,53,Toyota,Camry,1998,28791,4,5,1741104,87462,Widowed,0,12,812,Business
2658,22,Male,Suburban,Self-Employed,High School,56,Chevrolet,Impala,2009,21955,1,7,1256562,70884,Divorced,1,12,572,Pleasure
2659,55,Female,Urban,Unemployed,Associate Degree,44,Mercedes,E-Class,2012,29005,5,7,757116,46890,Married,1,12,331,Business
2660,62,Male,Rural,Self-Employed,Bachelor's Degree,55,Hyundai,Elantra,2001,21378,1,7,917496,46818,Married,0,12,313,Business
2661,58,Male,Suburban,Self-Employed,High School,21,Hyundai,Santa Fe,2010,24609,4,8,120186,21474,Married,0,12,554,Commute
2662,79,Female,Suburban,Retired,Associate Degree,44,Mercedes,E-Class,2016,17936,1,0,630846,77508,Divorced,0,12,572,Commute
2663,71,Male,Suburban,Self-Employed,Bachelor's Degree,37,Honda,Accord,1997,9561,0,6,1371168,89550,Widowed,1,6,516,Pleasure
2664,77,Female,Suburban,Retired,High School,53,BMW,X5,2006,5224,2,9,924228,57888,Widowed,0,12,414,Commute
2665,78,Male,Rural,Employed,Bachelor's Degree,35,Kia,Sportage,2001,16208,0,8,1147932,22194,Married,0,6,697,Pleasure
2666,64,Female,Urban,Employed,High School,52,Toyota,RAV4,2003,20019,5,1,1595034,82782,Widowed,1,6,822,Business
2667,31,Male,Urban,Employed,Master's Degree,2,Ford,Escape,2004,10673,1,3,684504,88110,Divorced,0,6,308,Commute
2668,73,Male,Urban,Employed,Master's Degree,56,BMW,3 Series,1995,24912,4,5,1688724,22680,Married,0,12,457,Business
2669,56,Male,Suburban,Employed,Associate Degree,61,BMW,5 Series,2006,28019,3,3,803538,37026,Married,0,12,615,Business
2670,42,Female,Rural,Employed,Doctorate,14,Hyundai,Tucson,2021,19834,1,8,1680966,38898,Married,0,12,727,Pleasure
2671,37,Male,Urban,Employed,Doctorate,10,Nissan,Altima,2022,6897,3,9,248292,84438,Divorced,0,6,763,Business
2672,19,Male,Rural,Retired,Bachelor's Degree,33,Volkswagen,Passat,2020,7849,2,0,1470600,27504,Married,0,6,363,Pleasure
2673,56,Female,Urban,Retired,High School,26,Mercedes,C-Class,2018,5741,0,8,240552,25020,Single,0,12,767,Pleasure
2674,23,Female,Suburban,Retired,Master's Degree,22,Mercedes,C-Class,2012,15133,2,9,1467594,56988,Divorced,0,6,373,Business
2675,34,Male,Urban,Retired,Doctorate,16,BMW,5 Series,1995,13900,3,0,495396,53388,Divorced,0,6,526,Pleasure
2676,76,Male,Suburban,Self-Employed,Master's Degree,57,BMW,X5,2019,17480,2,0,1041660,74826,Single,1,12,690,Commute
2677,42,Male,Suburban,Self-Employed,Bachelor's Degree,59,Nissan,Altima,2012,13345,3,4,1207710,83574,Single,1,6,490,Business
2678,74,Male,Urban,Unemployed,Bachelor's Degree,22,BMW,X5,2017,13657,0,0,137664,19602,Married,0,12,565,Commute
2679,45,Female,Rural,Self-Employed,High School,33,Mercedes,C-Class,2001,13758,3,9,476334,17766,Divorced,1,12,320,Business
2680,19,Male,Suburban,Retired,Doctorate,20,Chevrolet,Impala,2011,9057,0,8,102240,39222,Divorced,1,6,649,Commute
2681,52,Male,Rural,Retired,Bachelor's Degree,32,BMW,X5,2007,7814,1,5,531144,36990,Single,1,12,791,Business
2682,54,Female,Urban,Employed,Bachelor's Degree,4,Kia,Soul,2004,20374,3,8,957276,52794,Single,0,6,461,Pleasure
2683,22,Male,Suburban,Employed,Master's Degree,58,Chevrolet,Impala,2008,10569,2,4,1438974,35874,Widowed,1,12,567,Commute
2684,18,Male,Rural,Unemployed,Associate Degree,51,Nissan,Sentra,1995,21052,4,5,1613844,50544,Single,1,12,405,Business
2685,57,Male,Suburban,Self-Employed,Doctorate,16,Hyundai,Tucson,2017,27606,2,1,1683090,67770,Single,0,6,502,Commute
2686,29,Female,Urban,Retired,High School,59,Honda,CR-V,2000,13202,5,8,791838,50184,Married,1,6,482,Business
2687,73,Female,Suburban,Self-Employed,High School,61,BMW,X5,1998,17857,4,2,545760,67284,Widowed,0,12,642,Pleasure
2688,53,Male,Urban,Unemployed,Master's Degree,0,Nissan,Altima,2013,22388,2,4,1139148,46638,Widowed,0,12,460,Commute
2689,62,Male,Rural,Employed,High School,6,Volkswagen,Golf,2009,17243,3,7,1544904,12024,Single,1,12,697,Pleasure
2690,40,Female,Suburban,Retired,Bachelor's Degree,60,Hyundai,Tucson,2015,9905,1,4,1391220,24534,Divorced,1,12,685,Pleasure
2691,64,Male,Rural,Employed,Doctorate,2,Volkswagen,Golf,2015,9944,5,9,267498,37746,Single,1,6,558,Business
2692,48,Male,Urban,Retired,High School,25,Volkswagen,Jetta,2021,19532,3,3,554904,23274,Widowed,1,6,351,Business
2693,28,Female,Urban,Employed,Doctorate,15,Ford,Fiesta,2013,11304,0,3,1705590,65196,Married,0,12,791,Pleasure
2694,27,Female,Rural,Employed,High School,15,Nissan,Rogue,2016,5498,1,4,489330,17316,Divorced,1,6,846,Business
2695,20,Female,Rural,Unemployed,Associate Degree,43,Nissan,Rogue,2006,11315,5,2,521766,52974,Single,0,12,800,Pleasure
2696,71,Male,Urban,Self-Employed,Associate Degree,40,Kia,Sportage,2008,12000,3,9,213354,70236,Widowed,1,6,819,Commute
2697,31,Male,Rural,Employed,Doctorate,56,Ford,Fiesta,1997,27753,1,3,1429614,89352,Married,0,6,453,Commute
2698,33,Male,Urban,Retired,Associate Degree,13,Honda,CR-V,1998,16214,0,4,1125882,54414,Divorced,0,12,822,Business
2699,27,Male,Rural,Self-Employed,Associate Degree,43,Ford,Escape,1997,10939,5,3,856692,69282,Widowed,1,12,356,Commute
2700,46,Female,Urban,Self-Employed,Bachelor's Degree,25,Honda,Accord,2022,28820,4,2,947016,24336,Married,0,6,680,Pleasure
2701,27,Male,Urban,Employed,High School,26,Chevrolet,Impala,2006,17319,5,0,472446,68832,Single,1,6,624,Business
2702,29,Male,Suburban,Employed,Associate Degree,56,Hyundai,Elantra,2016,9390,1,1,1473264,84564,Divorced,0,6,665,Commute
2703,47,Female,Urban,Employed,Doctorate,47,BMW,X5,2003,18901,1,8,1069380,62226,Divorced,0,12,797,Business
2704,58,Female,Urban,Self-Employed,Bachelor's Degree,16,Hyundai,Santa Fe,2013,12486,0,9,1286298,40950,Divorced,1,12,760,Business
2705,18,Male,Suburban,Unemployed,Associate Degree,43,Ford,Escape,2010,18843,5,1,320256,18828,Married,1,12,831,Pleasure
2706,22,Female,Suburban,Employed,Doctorate,3,Honda,CR-V,1995,22935,3,1,1576566,30402,Widowed,1,6,782,Pleasure
2707,37,Female,Rural,Self-Employed,High School,16,Mercedes,E-Class,2008,18469,4,4,1770930,53874,Widowed,1,6,509,Business
2708,25,Male,Rural,Self-Employed,Associate Degree,32,BMW,5 Series,2007,18416,1,9,1288278,75312,Divorced,0,12,441,Pleasure
2709,60,Male,Urban,Retired,Doctorate,29,Ford,Focus,2017,17178,1,8,794808,73566,Single,1,12,376,Pleasure
2710,29,Male,Rural,Employed,Doctorate,56,Hyundai,Tucson,2006,5725,1,2,1716534,16416,Widowed,1,6,513,Business
2711,18,Male,Rural,Unemployed,Master's Degree,20,Ford,Fiesta,1999,20716,1,8,686556,58698,Widowed,1,6,824,Pleasure
2712,74,Female,Urban,Retired,Doctorate,16,Kia,Forte,2014,9681,5,3,651654,78696,Widowed,1,12,609,Commute
2713,71,Female,Suburban,Employed,Master's Degree,10,Hyundai,Santa Fe,1997,11727,0,2,1785474,41040,Single,0,12,304,Commute
2714,37,Male,Suburban,Retired,High School,50,Chevrolet,Malibu,2017,9429,1,4,847242,78174,Widowed,1,12,826,Business
2715,45,Male,Urban,Employed,High School,54,Mercedes,E-Class,1996,19026,4,6,1004958,72522,Married,1,6,769,Commute
2716,74,Female,Urban,Retired,Bachelor's Degree,29,BMW,3 Series,2005,28264,0,6,1006956,15102,Married,1,6,847,Commute
2717,60,Male,Urban,Unemployed,Master's Degree,17,Kia,Soul,2014,9457,5,1,1575036,41400,Divorced,0,12,640,Commute
2718,54,Male,Urban,Retired,Doctorate,19,Chevrolet,Malibu,1996,5934,1,6,471078,50958,Widowed,1,12,312,Pleasure
2719,64,Male,Urban,Retired,Bachelor's Degree,33,Ford,Focus,2010,14264,5,6,1411488,65394,Single,1,12,614,Pleasure
2720,54,Male,Urban,Retired,Bachelor's Degree,40,Ford,Focus,2020,20972,4,1,849942,64314,Widowed,1,12,571,Pleasure
2721,29,Female,Rural,Employed,High School,27,Honda,CR-V,2002,9585,2,9,1322010,80478,Divorced,1,6,733,Business
2722,54,Male,Rural,Employed,Doctorate,8,Toyota,Corolla,1997,8812,2,8,848502,51714,Married,0,12,398,Business
2723,66,Female,Rural,Unemployed,Master's Degree,43,Kia,Forte,2015,17420,4,7,1604826,81234,Single,1,12,557,Business
2724,66,Male,Suburban,Retired,High School,61,Chevrolet,Impala,2021,5872,1,1,267912,66798,Divorced,0,12,390,Pleasure
2725,73,Male,Urban,Self-Employed,Bachelor's Degree,30,BMW,5 Series,1998,29874,1,5,1462986,25452,Widowed,0,12,528,Commute
2726,61,Female,Urban,Retired,Associate Degree,44,Ford,Fiesta,2015,23990,0,7,96786,61884,Widowed,0,6,660,Commute
2727,73,Male,Rural,Self-Employed,Bachelor's Degree,15,Nissan,Sentra,1998,27202,1,8,881910,68256,Single,1,12,537,Pleasure
2728,45,Female,Suburban,Self-Employed,Associate Degree,30,Chevrolet,Malibu,2002,8268,0,0,1783008,77526,Single,1,6,735,Business
2729,64,Male,Rural,Retired,High School,28,BMW,5 Series,2000,17030,1,6,836928,11790,Widowed,0,12,432,Business
2730,32,Male,Urban,Self-Employed,Master's Degree,12,Hyundai,Santa Fe,2008,8984,5,9,1351836,89352,Married,0,6,450,Business
2731,23,Male,Urban,Self-Employed,Doctorate,22,Ford,Escape,2009,28570,3,4,1472256,9198,Divorced,0,6,725,Commute
2732,61,Male,Rural,Retired,Associate Degree,13,Chevrolet,Equinox,2011,27445,3,8,766386,44496,Married,1,6,529,Pleasure
2733,76,Male,Rural,Employed,Doctorate,38,Nissan,Rogue,1999,28924,4,8,772704,83268,Widowed,0,12,757,Pleasure
2734,78,Female,Urban,Retired,High School,1,Volkswagen,Jetta,1995,10273,5,2,678618,52884,Widowed,1,6,709,Commute
2735,37,Female,Rural,Unemployed,High School,11,Nissan,Altima,2006,29769,3,9,138168,85536,Single,0,6,754,Commute
2736,67,Male,Urban,Self-Employed,High School,57,Chevrolet,Malibu,2013,19733,2,6,393552,67932,Married,0,12,638,Commute
2737,31,Male,Rural,Unemployed,Master's Degree,27,Volkswagen,Golf,2006,24035,2,2,1163358,32400,Widowed,1,12,644,Pleasure
2738,19,Female,Suburban,Self-Employed,Associate Degree,31,Hyundai,Tucson,2005,23819,0,3,1591002,28422,Married,0,6,343,Business
2739,26,Female,Urban,Employed,Doctorate,55,Ford,Focus,2016,19978,2,7,1474524,58932,Divorced,0,12,676,Business
2740,54,Male,Suburban,Self-Employed,Bachelor's Degree,48,Kia,Soul,2003,15574,1,0,525366,75726,Widowed,0,12,494,Business
2741,37,Male,Rural,Retired,High School,23,Nissan,Sentra,2013,26909,0,3,1423584,44172,Divorced,0,6,363,Business
2742,43,Female,Suburban,Self-Employed,Doctorate,36,Kia,Sportage,2022,21751,5,3,1152216,71280,Widowed,1,6,802,Business
2743,46,Male,Rural,Unemployed,Doctorate,28,Kia,Sportage,2022,23993,3,2,1049670,87246,Widowed,1,12,384,Commute
2744,18,Female,Suburban,Retired,Master's Degree,51,Hyundai,Elantra,2022,12615,3,1,539928,56538,Divorced,1,6,682,Commute
2745,72,Male,Suburban,Unemployed,Associate Degree,41,Honda,Accord,1998,28506,2,7,1404486,61200,Single,0,12,317,Commute
2746,52,Female,Suburban,Employed,Master's Degree,17,BMW,X5,2007,12945,2,5,1614528,77166,Single,1,6,716,Commute
2747,23,Female,Urban,Unemployed,Master's Degree,2,Hyundai,Elantra,2004,19844,1,1,330174,75762,Widowed,1,12,551,Business
2748,54,Male,Suburban,Unemployed,Doctorate,12,BMW,X5,1995,23273,3,7,472698,49428,Divorced,1,12,473,Pleasure
2749,70,Female,Rural,Unemployed,Associate Degree,12,Volkswagen,Passat,2004,21164,2,7,762084,57492,Single,0,12,768,Commute
2750,76,Male,Rural,Retired,Associate Degree,41,Nissan,Sentra,2012,23531,3,6,148716,34650,Widowed,0,12,493,Commute
2751,22,Male,Urban,Employed,Associate Degree,28,BMW,5 Series,2007,26942,3,7,1216566,50004,Widowed,1,6,350,Commute
2752,50,Male,Urban,Employed,High School,1,BMW,X5,2001,29853,2,8,1754010,13104,Single,1,12,472,Business
2753,66,Male,Rural,Employed,Associate Degree,58,BMW,X5,2002,22785,3,2,941544,64206,Divorced,1,6,379,Commute
2754,68,Female,Suburban,Unemployed,Doctorate,27,Honda,CR-V,2011,17715,2,1,983358,40338,Single,0,12,544,Business
2755,31,Male,Rural,Retired,High School,47,Hyundai,Elantra,2019,21712,4,6,536760,47286,Widowed,0,6,583,Business
2756,29,Male,Urban,Retired,Bachelor's Degree,3,Ford,Escape,2016,6023,2,1,1650564,79866,Married,1,12,711,Pleasure
2757,59,Male,Urban,Retired,Master's Degree,50,Volkswagen,Golf,1995,13955,3,2,961416,17406,Divorced,1,6,458,Commute
2758,37,Male,Rural,Unemployed,Associate Degree,4,Honda,Accord,2010,21416,4,5,1112220,85194,Married,1,6,529,Commute
2759,70,Female,Suburban,Employed,Bachelor's Degree,38,Chevrolet,Malibu,2014,19455,3,8,1534518,41850,Married,1,12,822,Commute
2760,67,Male,Suburban,Unemployed,Associate Degree,40,Volkswagen,Golf,1998,8168,3,8,1409274,84582,Married,1,6,789,Pleasure
2761,41,Female,Urban,Retired,Master's Degree,4,Nissan,Rogue,2017,5385,4,9,1144242,53676,Widowed,0,12,566,Pleasure
2762,76,Female,Rural,Unemployed,Doctorate,7,Hyundai,Elantra,2011,11756,5,1,1194876,60966,Married,1,12,795,Business
2763,60,Female,Rural,Self-Employed,Doctorate,33,Chevrolet,Malibu,2007,24772,1,0,439956,32940,Married,0,6,433,Pleasure
2764,79,Male,Urban,Employed,Master's Degree,53,Honda,CR-V,2004,27848,4,5,942426,60480,Divorced,0,12,491,Pleasure
2765,51,Male,Rural,Employed,Bachelor's Degree,55,Honda,Civic,2003,25565,5,6,930852,75528,Single,0,12,746,Commute
